,title,house_type,address,house_age,floor_space,price,per_price
0,理想貴族視野採光極美套房,華廈,台中市南屯區東興西街,30.0,12,320,26.67
1,五期捷運美套房,華廈,台中市南屯區東興西街,30.0,12,350,29.17
2,理想貴族溫馨採光大套房,華廈,台中市南屯區東興西街,30.0,12,358,32.55
3,南屯低總價高樓層住宅,華廈,台中市南屯區東興西街,30.0,12,368,30.67
4,精科稀有大套房露台戶,華廈,台中市南屯區嶺東路,30.0,16,438,29.2
5,南屯全新整理二樓美公寓,公寓,台中市南屯區南美街,40.0,22,698,31.73
6,五期低總價2+1房,華廈,台中市南屯區大墩四街,30.0,26,720,27.69
7,南屯捷運站旁華廈,華廈,台中市南屯區大墩四街,30.0,26,720,27.69
8,精科1+1 大露台,華廈,台中市南屯區春安路,2.0,22,738,33.55
9,五期高樓層美美小資捷運宅,華廈,台中市南屯區大墩四街,30.0,26,760,29.23
10,五期捷運2+1房,華廈,台中市南屯區大墩四街,30.0,26,760,29.23
11,五期低總價捷運宅,華廈,台中市南屯區大墩四街,30.0,26,760,29.23
12,名媛貴族低總價兩房,華廈,台中市南屯區大墩十二街,31.0,25,768,30.72
13,大墩學區低總價二房附車位,華廈,台中市南屯區黎明路二段,28.0,28,795,28.39
14,東興樂章全新整理兩房車位,華廈,台中市南屯區東興路三段,28.0,23,798,34.7
15,正五期商圈2房車位,華廈,台中市南屯區東興路三段,28.0,23,798,34.7
16,東興低總兩房車位,華廈,台中市南屯區東興路三段,28.0,23,798,34.7
17,五期車位美二房,華廈,台中市南屯區東興路三段,28.0,23,798,34.7
18,正五期雙商圈2房車位美廈,華廈,台中市南屯區東興路三段,28.0,23,798,34.7
19,公益商圈美2房附車位,華廈,台中市南屯區東興路三段,28.0,23,798,34.7
20,五期低價兩房車位,華廈,台中市南屯區東興路三段,28.0,23,798,34.7
21,五期公益商圈小資二房,華廈,台中市南屯區東興路三段,28.0,23,798,34.7
22,公益商圈 兩房休旅車位,華廈,台中市南屯區東興路三段,28.0,23,798,34.7
23,正五期雙商區兩房車位,華廈,台中市南屯區東興路三段,28.0,23,798,34.7
24,五期東興樂章稀有兩房機上,華廈,台中市南屯區東興路三段,28.0,23,798,34.7
25,公益路東興路商圈2房車位,華廈,台中市南屯區東興路三段,28.0,23,798,34.7
26,精誠河畔三房美廈,華廈,台中市南屯區南屯路二段,28.0,33,838,25.39
27,五期鑫園時尚兩房,華廈,台中市南屯區東興路二段,28.0,28,880,32.59
28,東興商圈精美二房,華廈,台中市南屯區東興路二段,28.0,28,880,32.59
29,鑫園21世紀溫馨二房,華廈,台中市南屯區東興路二段,28.0,28,880,32.59
30,大墩學區美２房視野戶,華廈,台中市南屯區大墩十一街,24.0,23,888,38.61
31,彩翼惠文2房車位免千萬,華廈,台中市南屯區黎明東街,27.0,28,890,32.96
32,五期南屯路3房視野美屋,華廈,台中市南屯區南屯路二段,28.0,33,898,27.21
33,南屯三房華廈,華廈,台中市南屯區南屯路二段,28.0,33,898,27.21
34,八期好市多視野美3房,華廈,台中市南屯區南屯路二段,28.0,33,898,27.21
35,五期美宅採光好美三房,華廈,台中市南屯區南屯路二段,28.0,33,898,27.21
36,專簽!藝術羅丹美宅,華廈,台中市南屯區寶山三街,28.0,39,918,24.16
37,菁科2MAX,華廈,台中市南屯區春安路,0.0,35,928,26.51
