,title,house_type,address,house_age,floor_space,price,per_price
0,１４期旁三房平車樹梢戶,電梯大樓,台中市北屯區松竹路二段,8,45.12,1588,35.2
1,勝美松竹朝南美屋,電梯大樓,台中市北屯區松竹路二段,8,59.16,2498,42.22
2,鬧中取靜公寓首選就這間,公寓,台中市北屯區綏遠路二段,34,28.81,650,22.56
3,晴光花園稀有釋出美三房,電梯大樓,台中市北屯區軍福十六路,8,50.84,1588,31.24
4,幸福三房平車位,電梯大樓,台中市北屯區太和東街,8,46.18,1568,33.95
5,翡翠皇宮五房平車邀您入住,電梯大樓,台中市北屯區敦化路一段,30,84.1,1850,22.0
6,佳昂太和中高樓三房車位讚,電梯大樓,台中市北屯區軍福七路,1,50.44,1598,31.68
7,北屯雷諾亞大空間三房車位,華廈,台中市北屯區水景街,31,42.41,1038,24.48
8,１１期仁美太子文化美景屋,電梯大樓,台中市北屯區梅川東路五段,13,85.05,3568,41.95
9,世紀雙星。捷運四房視野宅,電梯大樓,台中市北屯區文心路四段,5,64.26,2499,38.89
10,☆櫻花巨人☆山景視野四房,電梯大樓,台中市北屯區南興北三路,0,56.75,2498,44.02
11,達麗居山兩房車位裝潢戶,電梯大樓,台中市北屯區敦富路,0,30.52,1298,42.53
12,水湳快樂童年採光三房,華廈,台中市北屯區瀋陽北路,22,31.19,988,31.68
13,北屯天津３房１室自住公寓,公寓,台中市北屯區天津路四段,35,33.27,698,20.98
14,家在ｅ起景觀視野戶平車位,電梯大樓,台中市北屯區軍榮街,12,44.54,1480,33.23
15,ＶＲ惠宇青田角間面公園,電梯大樓,台中市北屯區崇德九路,11,73.5,2988,40.65
16,大地華城三房車位,電梯大樓,台中市北屯區松義街,29,32.85,988,30.08
17,★大地交響四房溫馨美屋★,電梯大樓,台中市北屯區崇德路二段,24,71.8,1850,25.77
18,勝麗方程市,電梯大樓,台中市北屯區敦富路,1,36.91,1438,38.96
19,總太明日四房雙平車,電梯大樓,台中市北屯區太原路三段,6,63.5,1980,31.18
20,富宇晴光花園大三房雙平車,電梯大樓,台中市北屯區軍福十六路,8,81.39,2380,29.24
21,宏台松御二房平車,電梯大樓,台中市北屯區松竹路二段,2,38.05,1369,35.98
22,百萬裝潢勝美上境四房雙車,電梯大樓,台中市北屯區文心路四段,7,95.4,4180,43.82
23,一層一戶北平商圈機能寓,公寓,台中市北屯區北平路三段,38,31.92,688,21.55
24,獨家專賣大地交響小資首選,電梯大樓,台中市北屯區崇德路二段,24,36.47,1100,30.16
25,獨家！前後陽台大空間美屋,華廈,台中市北屯區興安路二段,24,46.15,1580,34.24
26,旅順華廈兩房平車,華廈,台中市北屯區旅順路二段,33,47.54,1088,22.89
27,店長推薦★朝南公園視野戶,電梯大樓,台中市北屯區軍福十一路,8,52.63,1888,35.87
28,水湳經貿３大房車位,華廈,台中市北屯區中清路二段,27,44.1,1158,26.26
29,德鑫ＭＩＴ美三房深得你心,電梯大樓,台中市北屯區崇德二路二段,6,58.77,2388,40.63
30,★丞虹雕龍一見傾心大三房,電梯大樓,台中市北屯區松竹路二段,27,44.86,1080,24.07
31,一景苑可看屋,電梯大樓,台中市北屯區崇德十路一段,5,69.31,3300,47.61
32,國豐街四房美公寓,公寓,台中市北屯區國豐街,33,43.28,780,18.02
33,四維捷運站旁花開富貴四房,電梯大樓,台中市北屯區天津路四段,28,60.0,1658,27.63
34,獨家臻藏水蓮１３事事如意,電梯大樓,台中市北屯區太順路,4,49.32,1588,32.2
35,元城文學苑雙併大戶,電梯大樓,台中市北屯區松安街,1,87.12,2988,34.3
36,國產金獎時尚高樓,電梯大樓,台中市北屯區松竹路二段,28,38.11,1088,28.55
37,北屯約五年大空間三房平車,電梯大樓,台中市北屯區軍福十三路,6,57.77,2398,41.51
38,文心１高樓兩房,電梯大樓,台中市北屯區文心路四段,7,24.7,1098,44.45
39,翠堤清靜三房美宅,電梯大樓,台中市北屯區旱溪西路三段,2,40.02,1398,34.93
40,文心低總價電梯三房,華廈,台中市北屯區平興街,30,32.45,828,25.52
41,達麗高樓裝潢戶,電梯大樓,台中市北屯區敦富路,0,30.61,1298,42.4
42,合勤璞真１０Ａ,電梯大樓,台中市北屯區熱河路二段,1,38.72,1498,38.69
43,近葳格。河畔四房平車美屋,電梯大樓,台中市北屯區松竹五路二段,10,54.82,1738,31.7
44,Ｇ６捷運鉅虹水之庭美屋,電梯大樓,台中市北屯區熱河路二段,12,74.81,2988,39.94
45,國泰ＰＬＵＳ帝王戶,電梯大樓,台中市北屯區崇德八路一段,2,65.46,3180,48.58
46,總統閣廈視野度假美套房,電梯大樓,台中市北屯區天津路四段,27,9.71,358,36.87
47,太平洋三房,電梯大樓,台中市北屯區崇德三路,32,64.85,1350,20.82
48,昌平商圈早安公園三房車位,電梯大樓,台中市北屯區昌平路一段,24,35.21,1320,37.49
49,櫻花巨人山景四房,電梯大樓,台中市北屯區南興北三路,0,74.65,2680,35.9
50,北屯近捷運優美四房,電梯大樓,台中市北屯區文心路四段,30,58.22,1280,21.99
51,東山孩子國低總高樓兩房,電梯大樓,台中市北屯區東山路一段,25,22.46,738,32.86
52,勝美上境視野裝潢雙車位,電梯大樓,台中市北屯區文心路四段,7,95.54,3800,39.77
53,大地交響邊間四房雙平車位,電梯大樓,台中市北屯區崇德路二段,24,82.69,2168,26.22
54,ＶＲ仁美學區四房平車,電梯大樓,台中市北屯區興安路二段,22,53.49,1688,31.56
55,稀有！！太子國寶四房平車,電梯大樓,台中市北屯區崇德路二段,18,68.3,2280,33.38
56,近松竹國小愛的兩房,電梯大樓,台中市北屯區松竹路二段,25,22.93,850,37.07
57,百吉利子母車位大坪數首選,電梯大樓,台中市北屯區崇德三路,32,77.2,1688,21.87
58,總統閣廈漂亮精緻套房,電梯大樓,台中市北屯區天津路四段,27,9.06,338,37.31
59,櫻花見森三房雙平車,電梯大樓,台中市北屯區和順路,7,59.26,1988,33.55
60,北屯高樓三房大坪數,電梯大樓,台中市北屯區東山路一段,25,40.74,998,24.5
61,富宇晴光花園高樓三房平車,電梯大樓,台中市北屯區軍福十六路,8,46.8,1538,32.86
62,稀有釋出總太悅來高樓,電梯大樓,台中市北屯區祥順路一段,7,55.14,1768,32.06
63,☆翠西梅諾美視野四房車位,電梯大樓,台中市北屯區梅川西路四段,28,64.58,1530,23.69
64,北屯惠宇大器三房雙平車位,電梯大樓,台中市北屯區太原路三段,7,76.07,2188,28.76
65,龍邦鳳翔３房平車,電梯大樓,台中市北屯區中清路二段,30,49.73,1250,25.14
66,巴黎第六區兩房雙衛空屋,電梯大樓,台中市北屯區文心路四段,9,29.5,1188,40.27
67,敬建築四房平車遠眺十四期,電梯大樓,台中市北屯區山西路二段,23,69.1,1980,28.65
68,獨家專任水湳兩房平車,華廈,台中市北屯區瀋陽北路,21,28.72,898,31.27
69,水湳．中國醫三房車位,華廈,台中市北屯區雷中街,28,33.29,890,26.73
70,生活藝境大坪數,電梯大樓,台中市北屯區崇興路一段,31,115.38,2077,18.0
71,品味龍邦視野美屋,電梯大樓,台中市北屯區文心路四段,26,43.16,1158,26.83
72,入門玄關三房附平車３陽台,電梯大樓,台中市北屯區九龍街,30,44.97,1258,27.97
73,臨單元十二高樓層美居,電梯大樓,台中市北屯區旱溪西路三段,2,27.67,1050,37.95
74,萌未來三房附雙車位,電梯大樓,台中市北屯區松竹五路一段,2,50.02,2022,40.42
75,獨家低總價北屯二房平車位,電梯大樓,台中市北屯區環太東路,2,28.46,868,30.5
76,瀋陽路大三房美寓,公寓,台中市北屯區瀋陽路一段,36,36.59,720,19.68
77,一景苑露臺精裝美宅,電梯大樓,台中市北屯區崇德十路一段,5,83.73,3680,43.95
78,崇德商圈三房平車捷運宅,電梯大樓,台中市北屯區崇德路二段,27,41.63,1198,28.78
79,達麗居山高樓三房平車位,電梯大樓,台中市北屯區敦富路,0,41.56,1698,40.86
80,ＶＲ機捷大三房平車首選,電梯大樓,台中市北屯區敦富路,1,50.96,1788,35.09
81,旅順路４房公寓,公寓,台中市北屯區旅順路二段,37,43.91,858,19.54
82,太原綠園道四房平面車位,電梯大樓,台中市北屯區太原路三段,17,49.53,1580,31.9
83,北屯建功國小三房車位美屋,電梯大樓,台中市北屯區東山路一段,30,51.55,1288,24.99
84,近捷運兩房平車附大露臺戶,華廈,台中市北屯區瀋陽路三段,5,41.37,1558,37.66
85,惠宇開朗三房平車視野戶,電梯大樓,台中市北屯區太原路三段,1,56.94,2250,39.52
86,金谷巷三房華廈金ＧＯＯＤ,華廈,台中市北屯區昌平路二段,29,26.64,880,33.03
87,宏台松御壓軸裝潢兩房車位,電梯大樓,台中市北屯區松竹路二段,2,38.05,1458,38.32
88,小資可置產收租兩房首選,公寓,台中市北屯區東山路一段,43,14.56,398,27.34
89,崇德商圈四房雙平面車位,華廈,台中市北屯區旅順路一段,28,74.3,1680,22.61
90,三木凱撒假期高樓美麗套房,電梯大樓,台中市北屯區文心路四段,27,10.07,348,34.56
