,title,house_type,address,house_age,floor_space,price,per_price
0,精銳三房雙平面車位,電梯大樓,台中市南屯區義芳街,8,57.41,1838,32.02
1,精密園區三房平面車位,電梯大樓,台中市南屯區文山三街,7,55.19,2058,37.29
2,五期低總價３房露臺戶,華廈,台中市南屯區大聖街,27,46.55,1498,32.18
3,精銳三房平車推薦首選,電梯大樓,台中市南屯區義芳街,8,47.91,1650,34.44
4,采固卓越四房平車朝南視野,電梯大樓,台中市南屯區大墩路,23,61.07,2168,35.5
5,五期大墩生活圈三房附車位,華廈,台中市南屯區大墩六街,31,38.59,1180,30.58
6,近捷運大三房車位樹海美廈,華廈,台中市南屯區大容東街,32,55.35,1396,25.22
7,博克萊高樓美視野★讚,電梯大樓,台中市南屯區大墩七街,1,31.03,1680,54.14
8,南屯八期兩房平面車位,華廈,台中市南屯區萬和路一段,5,39.65,1398,35.26
9,【南屯震後】間間主臥美墅,透天,台中市南屯區建興路,15,141.52,4880,34.48
10,專任精銳唐寧１號三房,電梯大樓,台中市南屯區大墩路,6,91.17,3880,42.56
11,順天首席溫馨三房,電梯大樓,台中市南屯區大業路,17,47.04,1958,41.62
12,森林公園朝北視野兩房平車,電梯大樓,台中市南屯區大墩七街,1,29.91,1460,48.81
13,總太天匯森林捷運公園視野,電梯大樓,台中市南屯區惠文路,9,144.43,5680,39.33
14,【高樓】國泰森林苑裝潢戶,電梯大樓,台中市南屯區文心路一段,8,193.86,6880,35.49
15,八期豐樂公園旁高樓視野戶,電梯大樓,台中市南屯區文心南六路,23,93.86,3888,41.42
16,三采藝術園區面公益路３房,電梯大樓,台中市南屯區公益路二段,23,44.0,1350,30.68
17,七期雙橡園Ｖ１高樓朝南讚,電梯大樓,台中市南屯區大正街,5,93.2,5380,57.73
18,雙橡園Ｖ１精緻美麗裝潢戶,電梯大樓,台中市南屯區大正街,5,106.07,5880,55.44
19,惠宇上晴景觀美屋,電梯大樓,台中市南屯區向上路五段,6,60.66,2298,37.88
20,散步大墩學區三房平面車位,電梯大樓,台中市南屯區黎明東街,16,45.34,1739,38.35
21,大墩學區三房車位可看屋,華廈,台中市南屯區三和街,25,30.5,999,32.75
22,【熊貓建設】美三房車位,電梯大樓,台中市南屯區向上南路一段,29,46.3,1458,31.49
23,ＶＲ登峰御邸大四房附露臺,電梯大樓,台中市南屯區黎明東街,10,94.33,3488,36.98
24,高樓視野博識兩房車位,電梯大樓,台中市南屯區河南路四段,2,26.78,1328,49.59
25,我愛我家三房平面車位,電梯大樓,台中市南屯區萬和路二段,29,41.21,1380,33.49
26,鈺陞築韻帝王視野由你鑑賞,電梯大樓,台中市南屯區楓和路,1,77.22,2580,33.41
27,南屯大露台美三房,電梯大樓,台中市南屯區五權西路二段,25,49.29,1368,27.75
28,南屯驚艷二房平面車位,電梯大樓,台中市南屯區文山十街,5,37.9,1258,33.19
29,哲園方邸前棟高樓視野,電梯大樓,台中市南屯區向上路二段,8,102.65,4980,48.51
30,太子西雅圖稀有高樓釋出,電梯大樓,台中市南屯區黎明路二段,17,29.42,1188,40.38
31,獨家！正五期三房近捷運宅,華廈,台中市南屯區大墩十四街,28,34.62,1200,34.66
32,屋況極佳少住惠宇清寬,電梯大樓,台中市南屯區五權西路二段,14,49.13,2268,46.16
33,店長推薦順天御南苑面公園,電梯大樓,台中市南屯區文心南三路,8,234.63,7599,32.39
34,大墩學區博識兩房附車位,電梯大樓,台中市南屯區河南路四段,2,26.78,1200,44.81
35,大新國小三房車位,華廈,台中市南屯區大光街,30,33.87,1080,31.89
36,惠宇朝南面公園平安喜樂,電梯大樓,台中市南屯區文心南五路一段,12,165.7,5588,33.72
37,七期海悅豪景美宅平車,電梯大樓,台中市南屯區惠中路三段,16,37.09,1850,49.88
38,專任遠雄一品高樓朝南戶,電梯大樓,台中市南屯區新富路,5,76.87,3388,44.07
39,ＶＲ博克萊兩房平車可看屋,電梯大樓,台中市南屯區大墩七街,1,34.84,1580,45.35
40,寶鯨富椿絕美裝潢公園美景,電梯大樓,台中市南屯區大觀路,7,118.72,5168,43.53
41,店長推薦！森林觀道裝潢戶,電梯大樓,台中市南屯區文心路一段,10,133.61,4880,36.52
42,黎明商圈四房平車高樓層,電梯大樓,台中市南屯區黎明路二段,28,49.37,1498,30.34
43,專任微笑城市３房附平車位,電梯大樓,台中市南屯區春安三街,2,42.58,1350,31.71
44,★大城仰望★B棟朝南宜居,電梯大樓,台中市南屯區大墩十四街,7,84.76,3995,47.13
45,大城建設公園旁雙平車位,電梯大樓,台中市南屯區文心南五路一段,13,80.92,2980,36.83
46,八期凱旋門公園視野,電梯大樓,台中市南屯區文心南五路一段,13,85.28,3380,39.63
47,單元二面樹海朝東美屋,電梯大樓,台中市南屯區新富路,5,57.93,2680,46.26
