,title,house_type,address,house_age,floor_space,price,per_price
0,正重慶路雙店面,華廈,台中市西屯區重慶路,27,109.68,3216,29.5
1,水湳經貿園區四房平車宅,華廈,台中市西屯區中清西二街,27,45.23,1180,26.22
2,世界之心,華廈,台中市西屯區文心路三段,13,32.75,968,30.25
3,東海星鑽收租6套,華廈,台中市西屯區工業區三十八路,29,58.55,998,17.21
4,水湳市場公園3+1房平面車,華廈,台中市西屯區中清西二街,27,45.23,1180,26.22
5,低總價櫻花捷運站2房,華廈,台中市西屯區洛陽路,38,16.57,500,31.25
6,文華高中旁1+2樓店,華廈,台中市西屯區長安路二段,28,46.96,1288,28.0
7,龍寶晴臻邸+中央公園,華廈,台中市西屯區美滿東三巷,9,161.54,5880,36.52
8,水湳經貿俗店面,華廈,台中市西屯區長安路二段,28,46.96,1288,28.0
9,近水樓台陽台美套房之8,華廈,台中市西屯區至善路,29,7.71,248,35.43
10,逢甲近水樓台收租套房2,華廈,台中市西屯區至善路,29,8.41,265,33.12
11,逢甲近水樓台收租套房4,華廈,台中市西屯區至善路,29,7.71,248,35.43
12,近水樓台陽台美套房之11,華廈,台中市西屯區至善路,29,7.71,248,35.43
13,逢甲近水樓台收租套房1,華廈,台中市西屯區至善路,29,7.71,248,35.43
14,中科正福科路稀有樓店,華廈,台中市西屯區福科路,28,51.6,1388,27.22
15,東海收租六套房,華廈,台中市西屯區工業區三十八路,29,41.18,1158,28.24
16,熊貓天下低總價套房,華廈,台中市西屯區西屯路二段,27,8.56,288,36.0
17,西屯逢甲商圈美套房,華廈,台中市西屯區西屯路二段,27,8.56,288,36.0
18,西屯高樓層大套房,華廈,台中市西屯區西屯路二段,27,8.56,288,36.0
19,熊貓天下 低總價電梯套房,華廈,台中市西屯區西屯路二段,27,8.56,288,36.0
20,世界之心,華廈,台中市西屯區文心路三段,13,33.16,988,29.94
21,逢甲高樓層稀有釋出,華廈,台中市西屯區福上巷,27,32.37,968,30.25
22,東大收租透套,透天,台中市西屯區順和三街,30,52.79,2080,40.0
23,秋紅谷裝潢豪宅B1雙平車,華廈,台中市西屯區臺灣大道三段,8,141.46,5188,36.79
24,捷運宅桂冠歐洲米蘭大套房,華廈,台中市西屯區何厝東二街,24,16.4,438,27.38
25,正七期惠文學區美3房車位,華廈,台中市西屯區惠文七街,24,38.82,1680,44.21
26,成家二期低總價三房,華廈,台中市西屯區順和七街,28,22.63,688,31.27
27,中科全新未住帝王電梯別墅,透天,台中市西屯區西屯路三段,7,149.63,5380,36.11
28,聯聚和平,華廈,台中市西屯區府會園道,22,181.81,6980,38.56
29,世界之心,華廈,台中市西屯區文心路三段,13,48.69,1680,35.0
30,逢甲夜市精美3+1房,華廈,台中市西屯區西屯路二段,28,40.67,1168,29.2
31,西屯漢口商圈安居收租房,公寓,台中市西屯區大信街,36,29.96,798,27.52
32,寧夏路商辦大樓,華廈,台中市西屯區寧夏路,32,117.19,1480,12.65
33,世界之心,華廈,台中市西屯區文心路三段,13,31.08,978,31.55
34,專任-逢甲西門町,華廈,台中市西屯區逢甲路,28,8.36,318,39.75
35,市政依蝶,華廈,台中市西屯區市政北一路,17,62.47,2698,43.52
36,逢甲商圈低公設大三房,華廈,台中市西屯區黎明路三段,29,38.58,1098,28.89
37,市政愛悅次頂樓平車大兩房,華廈,台中市西屯區,0,33.77,1200,36.36
38,甘肅公園角間4戶美2房,公寓,台中市西屯區甘肅路一段,39,38.05,1380,36.32
39,七期東方帝國面公園稀有戶,華廈,台中市西屯區文心路二段,11,149.07,5380,36.11
40,順天部落格尬平車,華廈,台中市西屯區文華路,14,18.98,666,37.0
41,逢甲商圈精美單身貴族宅,華廈,台中市西屯區文華路,14,18.98,666,37.0
42,逢甲商圈3房車位,華廈,台中市西屯區西屯路二段,28,41.33,1180,28.78
43,漢口商圈燙金收租商辦,華廈,台中市西屯區漢口路二段,33,103.64,2580,25.05
44,捷運文華高中站黃金樓店,華廈,台中市西屯區重慶路,27,54.53,1558,28.85
45,中科非凡比大四房平車,華廈,台中市西屯區西屯路三段宏福三巷,29,61.04,1780,29.18
46,世界之心,華廈,台中市西屯區文心路三段,13,24.41,868,36.17
47,雲世紀次頂樓三房平車,華廈,台中市西屯區西屯路三段,8,53.08,1920,36.23
48,河南路文華捷運商辦平車,華廈,台中市西屯區河南路一段,31,67.38,1588,23.7
49,近水樓台電梯套房D,華廈,台中市西屯區至善路,29,7.71,268,38.29
50,近水樓台電梯套房A,華廈,台中市西屯區至善路,29,7.71,268,38.29
51,世界之心大一房放眼七期,華廈,台中市西屯區文心路三段,13,28.07,990,35.36
52,水湳經貿收租透天套房,透天,台中市西屯區大鵬路,50,36.92,1680,46.67
53,寶輝市政六房三平車樹梢戶,華廈,台中市西屯區惠民路,17,177.69,7980,45.08
54,市府捷運世界之心,華廈,台中市西屯區文心路三段,13,37.04,1398,37.78
55,獨家市政愛悅七期帝王樓,華廈,台中市西屯區台灣大道３段,0,33.33,1138,34.48
56,(專任)天璽三期朝南裝潢戶,華廈,台中市西屯區市政北一路,15,137.09,4850,35.4
57,七期天廈清新裝潢美視野,華廈,台中市西屯區環中路三段,7,78.67,2980,38.21
58,親家福星道,華廈,台中市西屯區福吉街,0,37.04,1468,39.68
59,世界之心大一房遠眺七期,華廈,台中市西屯區文心路三段,13,32.75,1199,37.47
60,逢甲20米大面寬角間樓店,華廈,台中市西屯區西安街,28,64.47,1980,30.94
61,台中逢甲商圈樓店,華廈,台中市西屯區西安街,28,64.47,1980,30.94
62,水湳低總價三房,公寓,台中市西屯區長安路二段,39,30.63,628,20.93
63,台中新家2+1房,華廈,台中市西屯區青海路二段,30,24.84,798,33.25
64,世界之心,華廈,台中市西屯區文心路三段,13,28.07,990,35.36
65,赫里翁歐風三房平車,華廈,台中市西屯區環中路三段,5,47.75,1988,42.3
66,敦園大廈低總價大三房,華廈,台中市西屯區黎明路三段,29,38.58,1098,28.89
67,專簽!!勇建人本至善,華廈,台中市西屯區青海路二段,19,42.96,1480,35.24
68,世界之心,華廈,台中市西屯區文心路三段,13,32.75,1199,37.47
69,捷運文華高中站邊間樓店,華廈,台中市西屯區重慶路,27,55.13,1658,30.15
70,市政愛悅面朝馬2房高樓平,華廈,台中市西屯區臺灣大道三段,0,34.77,1368,40.24
71,市政愛悅面朝馬高樓層,華廈,台中市西屯區臺灣大道三段,0,34.77,1375,40.44
72,西屯非凡比大4房高樓平車,華廈,台中市西屯區西屯路三段,29,68.46,1738,25.56
73,小資最愛面公園3房2樓美寓,公寓,台中市西屯區大弘五街,36,24.82,768,32.0
74,五期大面寬雙車別墅,透天,台中市西屯區大聖街,34,96.4,2980,31.04
75,專簽-國際學舍套房,公寓,台中市西屯區福上巷,33,6.17,199,33.17
76,捷運文華高中站商辦附車位,華廈,台中市西屯區河南路一段,31,67.38,1588,23.7
77,西屯高投報永福8套,未提供,台中市西屯區永福路,42,23.51,1088,47.3
78,G8捷運站優質商辦+平車,華廈,台中市西屯區河南路一段,31,67.38,1588,23.7
79,文心捷運商辦,華廈,台中市西屯區河南路一段,31,67.38,1588,23.7
80,遠雄寬寓兩房平車,華廈,台中市西屯區逢大路,0,28.26,1550,55.36
81,南區低總價三房公寓,公寓,台中市南區有恆街,45,18.36,498,27.67
82,榮耀無限視野千萬裝潢宅,華廈,台中市西屯區市政北七路,11,113.57,5288,46.8
83,七期希望之城低總價正3房,華廈,台中市西屯區惠文七街,24,38.82,1680,44.21
84,七期市政廳豪邸,華廈,台中市西屯區惠中路一段,9,184.11,7588,41.24
85,㊣青海路黃金店面,華廈,台中市西屯區青海路二段,28,54.31,2580,47.78
86,七期寶輝市政精裝三平車,華廈,台中市西屯區惠民路,17,177.68,7980,45.08
87,西屯稀有二樓美寓,公寓,台中市西屯區大弘五街,36,24.82,768,32.0
88,青海漢口商圈5間大套房,公寓,台中市西屯區大有一街,36,33.73,798,24.18
89,精銳市政廳,華廈,台中市西屯區惠中路一段,9,90.28,4780,53.11
90,蛋黃區惠中復古超值透天,透天,台中市西屯區惠中路,51,27.74,1298,48.07
91,世界之心,華廈,台中市西屯區文心路三段,13,33.19,1068,32.36
92,夢寐以求精美裝潢戶車位,華廈,台中市西屯區四川東街,31,28.92,1280,45.71
93,七期NTC商辦,華廈,台中市西屯區市政北二路,4,153.83,7480,48.89
94,東大萌,華廈,台中市西屯區,0,26.71,1288,49.54
95,近捷運站大面寬店面,華廈,台中市西屯區文心路三段,29,214.51,7800,36.45
96,專簽市政愛悅兩房高樓平車,華廈,台中市西屯區臺灣大道三段,0,34.4,1238,36.41
97,東海低總價臨路金店面,華廈,台中市西屯區工業區三十八路,26,40.75,980,24.5
98,逢甲碧連天裝潢美三房,華廈,台中市西屯區西屯路二段,28,41.33,1180,28.78
99,逢甲碧連天3房車位裝潢戶,華廈,台中市西屯區西屯路二段,28,41.33,1180,28.78
100,逢甲碧根碧連天裝潢戶,華廈,台中市西屯區,28,41.33,1180,28.78
101,正重慶路黃金店面,華廈,台中市西屯區重慶路,27,54.54,1550,28.7
102,逢甲商圈大三房附車位,華廈,台中市西屯區西屯路二段,28,41.33,1180,28.78
103,敬業LA高樓陽台套房,華廈,台中市西屯區漢口路二段,26,10.35,358,35.8
104,敬業LA太原綠園道套房,華廈,台中市西屯區漢口路二段,26,10.34,358,35.8
105,聯聚芳庭高樓B2,華廈,台中市西屯區市政路,12,118.81,5600,47.46
106,逢甲福星路低總價黃金店面,華廈,台中市西屯區福星路,30,53.44,2058,38.83
107,逢甲免整理電梯2房,華廈,台中市西屯區寶慶街,30,21.02,588,28.0
108,西屯非凡比4房附車,華廈,台中市西屯區西屯路三段宏福三巷,29,65.81,1498,23.05
109,中科朝南視野採光大四房車,華廈,台中市西屯區西屯路三段,29,65.82,1498,23.05
110,七期國雄領域標配全新未住,華廈,台中市西屯區台灣大道３段,9,60.11,2399,39.98
111,水湳市場旁大三房公寓,公寓,台中市西屯區長安路二段,39,30.63,628,20.93
112,精誠路三樓美公寓,公寓,台中市西屯區精誠路,39,26.88,858,33.0
113,赫里翁臻愛,華廈,台中市西屯區環中路二段,3,24.7,1088,45.33
114,K572典鉅藏玉帝王景觀樓中,華廈,台中市西屯區市政北一路,14,224.89,12800,57.14
115,七期市政依蝶裝潢4房雙車,華廈,台中市西屯區市政北一路,17,63.23,2688,42.67
116,久樘香坡帝王視野戶,華廈,台中市西屯區青海路二段,9,104.72,4500,43.27
117,七期銳豐悅觀名人巷視野戶,華廈,台中市西屯區市政北二路,8,131.67,5668,43.27
118,正青海路黃金店面,華廈,台中市西屯區青海路二段,28,54.31,2580,47.78
119,文華高中捷運金店面,華廈,台中市西屯區重慶路,27,55.14,1658,30.15
120,允將大有3房車位,華廈,台中市西屯區朝馬路,5,52.58,1988,38.23
121,七期黃金地段收租透套,透天,台中市西屯區朝貴一街,27,72.95,2600,36.11
122,皇居高樓層裝潢四房雙平車,華廈,台中市西屯區臺灣大道三段,12,126.57,4500,35.71
123,赫里翁臻愛,華廈,台中市西屯區環中路二段,3,32.4,1268,39.62
124,皇居稀有貞觀大坪數三車位,華廈,台中市西屯區臺灣大道三段,12,146.09,4680,32.05
125,市政愛悅朝東秋紅谷2房平,華廈,台中市西屯區臺灣大道三段,0,36.02,1395,38.75
