,title,house_type,address,house_age,floor_space,price,per_price
0,中台科大買地送別墅,透天,台中市北屯區&#24269;子路,44.0,80,2880,36.0
1,獨棟庭園別墅,透天,台中市北屯區&#24269;子路,31.0,147,4888,33.48
2,廍子公園渡假村別墅,透天,台中市北屯區&#24269;子路,24.0,63,8880,140.95
3,中台科大店面透天,透天,台中市北屯區&#24269;子路,23.0,51,1780,35.6
4,太原路祥順東路角間大別墅,透天,台中市北屯區?子巷,17.0,58,3560,62.46
5,沐山居高收益收租套房,透天,台中市北屯區一新一街,0.0,137,5800,42.34
6,凱悅VIP無敵視野極品套,華廈,台中市北屯區九龍街,30.0,10,358,35.8
7,太原車站漂亮三房平車,華廈,台中市北屯區九龍街,30.0,37,928,25.78
8,太原車站三房平車,華廈,台中市北屯區九龍街,30.0,31,948,31.6
9,北屯風格畫境三房平車,華廈,台中市北屯區九龍街,30.0,39,1258,33.11
10,兒童公園精裝三房平車,華廈,台中市北屯區九龍街,30.0,45,1258,28.59
11,北屯三房平車蛋黃屋,華廈,台中市北屯區九龍街,30.0,45,1258,28.59
12,太原車站三房平車,華廈,台中市北屯區九龍街,30.0,45,1258,28.59
13,風格畫境大三房平車,華廈,台中市北屯區九龍街,30.0,45,1258,28.59
14,風格畫境視野質感四房平車,華廈,台中市北屯區九龍街,30.0,56,1580,28.73
15,兒童公園裝潢四房平車,華廈,台中市北屯區九龍街,30.0,56,1580,28.73
16,風格畫境視野4房平車,華廈,台中市北屯區九龍街,30.0,56,1580,28.73
17,北屯國小大四房平車,華廈,台中市北屯區九龍街,30.0,56,1580,28.73
18,風格畫境裝潢四房平車,華廈,台中市北屯區九龍街,30.0,56,1580,28.73
19,兒童公園四房平車,華廈,台中市北屯區九龍街,30.0,50,1580,32.24
20,風格畫境裝潢四房平車,華廈,台中市北屯區九龍街,30.0,56,1580,28.73
21,北屯風格畫境四房平車,華廈,台中市北屯區九龍街,30.0,56,1580,28.73
22,太原車站美透天,透天,台中市北屯區九龍街,41.0,56,2600,47.27
23,九龍街賺錢金店面,華廈,台中市北屯區九龍街,28.0,33,958,29.94
24,風格畫境漂亮3房+平車,華廈,台中市北屯區九龍街,30.0,45,1258,28.59
25,蛋白區最火，必秒殺三,電梯大樓,台中市北屯區九龍街,30.0,45,1130,25.68
26,太原車站三房平車,電梯大樓,台中市北屯區九龍街,30.0,45,1258,28.59
27,北屯全新整理大四房平,電梯大樓,台中市北屯區九龍街,30.0,56,1580,28.73
28,十期鄰路大地坪別墅,透天,台中市北屯區大仁段,0.0,82,3980,48.54
29,水湳生態公園活路透天,透天,台中市北屯區大連北街,43.0,34,2180,66.06
30,14期旁美視野四樓透店,透天,台中市北屯區大連北街,26.0,72,2300,31.94
31,水湳/14期旁8米活路透店,透天,台中市北屯區大連北街,43.0,33,1860,56.36
32,14期生態公園旁臨路透店,透天,台中市北屯區大連北街,43.0,33,2180,66.06
33,水湳全新高投報電梯18套,透天,台中市北屯區大連北街,43.0,34,4750,139.71
34,水湳文心站超大角間樓店,公寓,台中市北屯區大連西路,35.0,76,2380,31.73
35,北屯中清文心蛋黃區樓店,公寓,台中市北屯區大連西路,35.0,76,2380,31.73
36,水湳大面寬透店,透天,台中市北屯區大連西路,51.0,32,2680,83.75
37,水湳大連路低總價透天,透天,台中市北屯區大連路一段,51.0,14,698,53.69
38,水湳市場旁透天,透天,台中市北屯區大連路一段,52.0,23,968,42.09
39,水湳市場一樓孝親公寓,公寓,台中市北屯區大連路一段,37.0,36,1100,30.56
40,水湳經貿雙車四房透天,透天,台中市北屯區大連路一段,26.0,62,1980,31.94
41,14期旁生態公園車庫透天,透天,台中市北屯區大連路一段,26.0,62,1980,31.94
42,北屯大連路地下商辦  ,華廈,台中市北屯區大連路一段,38.0,138,1598,11.58
43,大連昌平商圈美三房附車位,華廈,台中市北屯區大連路三段,32.0,44,1080,25.12
44,昌平商圈收租金雞母,華廈,台中市北屯區大連路三段,32.0,76,1788,23.53
45,安順瑞聯住商大樓美商辦,華廈,台中市北屯區大連路三段,32.0,47,1390,30.22
46,昌平商圈收租金店,華廈,台中市北屯區大連路三段,24.0,32,1398,45.1
47,安順瑞聯住商大樓,華廈,台中市北屯區大連路三段,32.0,47,1390,30.22
48,昌平商圈住商華夏,華廈,台中市北屯區大連路三段,32.0,44,1080,25.12
49,民俗公園-崇德商圈小,電梯大樓,台中市北屯區大連路三段,32.0,44,1080,25.12
50,達麗創世紀,華廈,台中市北屯區大鵬路,0.0,31,1458,47.03
51,達麗創世紀,華廈,台中市北屯區大鵬路,0.0,36,1658,47.37
52,?子全新三車獨棟透天,透天,台中市北屯區子巷,0.0,32,1880,58.75
53,十一期高質感臨路電梯豪墅,透天,台中市北屯區山西北二街,16.0,102,5288,51.84
54,11期洲際霸氣大豪宅,透天,台中市北屯區山西南一街,6.0,112,11800,106.31
55,11期獨棟四車庫電梯豪墅,透天,台中市北屯區山西南一街,6.0,106,11800,112.38
56,11期臨路大面寬豪墅,透天,台中市北屯區山西南一街,6.0,112,11800,106.31
57,11期電梯豪墅,透天,台中市北屯區山西南一街,6.0,112,11800,106.31
58,國泰MOST+ ,華廈,台中市北屯區山西路二段,0.0,46,2388,53.07
59,入主14期最佳首選大兩房,華廈,台中市北屯區山西路三段,0.0,36,1498,41.61
60,亞昕一緒稀有三面採光戶,華廈,台中市北屯區山西路三段,0.0,46,1980,44.0
61,亞昕一緒D棟三面採光,華廈,台中市北屯區山西路三段,0.0,46,1998,44.4
62,亞昕一緒入住十四期,華廈,台中市北屯區山西路三段,0.0,27,1750,67.31
63,北屯區11期樓中樓【水,電梯大樓,台中市北屯區山西路三段,10.0,131,4280,32.92
64,G7捷運收租透套,透天,台中市北屯區中清西二街,49.0,27,2480,95.38
65,和宜極美華廈,未提供,台中市北屯區中清路,0.0,37,1680,45.41
66,買五樓送六樓電梯公寓,華廈,台中市北屯區中清路二段,39.0,26,798,30.69
67,北屯好便宜透天,透天,台中市北屯區中清路二段,40.0,20,1080,54.0
68,水湳市場大面寬孝親房透天,透天,台中市北屯區中清路二段,51.0,16,1180,78.67
69,水湳愛買邊間5樓透天,透天,台中市北屯區中清路二段,26.0,75,2500,33.78
70,水湳高投報電梯收租套房,未提供,台中市北屯區中清路二段,39.0,72,2590,36.48
71,水湳經貿愛買旁5房金透店,透天,台中市北屯區中清路二段,42.0,54,2680,49.63
72,近水湳市場便宜透天,透天,台中市北屯區中清路二段,,21,1080,51.43
73,中清捷運旁3房三樓公寓,華廈,台中市北屯區中清路二段,40.0,27,658,25.31
74,水湳全新兩房電梯華廈,華廈,台中市北屯區中清路二段,1.0,24,928,38.67
75,正14期朝南視野三房,華廈,台中市北屯區仁平街,0.0,89,3980,45.23
76,四維捷運站2+1房,華廈,台中市北屯區天津路四段,27.0,25,835,33.4
77,兒童公園2房高樓層視野戶,華廈,台中市北屯區天津路四段,27.0,25,838,33.52
78,四維捷運站2房視野小豪宅,華廈,台中市北屯區天津路四段,27.0,25,838,33.52
79,總統閣廈,華廈,台中市北屯區天津路四段,27.0,25,838,33.52
80,天津路52間電梯收租套房,透天,台中市北屯區天津路四段,3.0,295,14200,48.3
81,捷運旁美樓店,華廈,台中市北屯區天津路四段,28.0,27,1298,49.92
82,台中天津捷運站店住,華廈,台中市北屯區天津路四段,28.0,54,1298,24.49
83,G5捷運投資收租套房A,華廈,台中市北屯區天津路四段,27.0,7,268,38.29
84,G5捷運投資收租套房B,華廈,台中市北屯區天津路四段,27.0,7,268,38.29
85,G5捷運兩房視野戶,華廈,台中市北屯區天津路四段,27.0,17,588,34.59
86,G5捷運高樓層兩房視野戶,華廈,台中市北屯區天津路四段,27.0,25,838,33.52
87,夢想會館高收益收租套房,透天,台中市北屯區天津路四段,3.0,295,14200,48.3
88,獨家北屯G5站 兩房高,電梯大樓,台中市北屯區天津路四段,27.0,25,838,33.52
89,太原車站成家首選美寓,公寓,台中市北屯區天祥街,43.0,20,558,27.9
90,十期獨棟4車電梯大別墅,透天,台中市北屯區太和一街,11.0,115,4680,40.7
91,北屯雙車位社區別墅,透天,台中市北屯區太和東街,11.0,57,3288,58.71
