,title,house_type,address,house_age,floor_space,price,per_price
0,逢甲商圈收租套房,公寓,台中市西屯區福上巷龍欣一弄,33.0,6,135,22.5
1,專簽-國際學舍套房,公寓,台中市西屯區福上巷,33.0,6,209,34.83
2,近水樓台陽台美套房之11,華廈,台中市西屯區至善路,29.0,8,248,35.43
3,逢甲近水樓台收租套房4,華廈,台中市西屯區至善路,29.0,8,248,35.43
4,逢甲近水樓台收租套房1,華廈,台中市西屯區至善路,29.0,8,248,35.43
5,近水樓台陽台美套房之8,華廈,台中市西屯區至善路,29.0,8,248,35.43
6,逢甲收租2房美廈,華廈,台中市西屯區上石北２巷,30.0,14,380,29.23
7,真愛逢甲漂亮陽台美套房,華廈,台中市西屯區至善路,24.0,12,395,32.92
8,逢甲大學低總價收租3套房,公寓,台中市西屯區逢甲路,44.0,17,420,24.71
9,逢甲U行館精緻大套房,華廈,台中市西屯區寶慶街,13.0,13,438,36.5
10,水湳低總價三房美寓,公寓,台中市西屯區中清西二街,41.0,20,558,27.9
11,水湳經貿低總價美寓,公寓,台中市西屯區中清西二街,41.0,20,558,27.9
12,珍愛逢甲超值收租兩套B,華廈,台中市西屯區至善路,16.0,18,558,31.0
13,大鵬國小水湳划算採光三房,公寓,台中市西屯區中清西二街,41.0,20,558,27.9
14,水湳市場低總價美寓5+6,公寓,台中市西屯區中清西二街,41.0,20,558,27.9
15,水湳低總價3房公寓,公寓,台中市西屯區中清西二街,41.0,20,558,27.9
16,珍愛逢甲超值收租兩套C,華廈,台中市西屯區至善路,16.0,18,558,31.0
17,文華捷運站 低總價3房美寓,公寓,台中市西屯區長安路二段,39.0,22,568,25.82
18,珍愛逢甲2戶套房,華廈,台中市西屯區,16.0,20,582,29.1
19,文華捷運英式設計三房,公寓,台中市西屯區寧夏東二街,40.0,22,588,28.0
20,逢甲免整理電梯2房,華廈,台中市西屯區寶慶街,30.0,21,588,28.0
21,水湳市場捷運旁三房美寓,公寓,台中市西屯區長安路二段,39.0,31,628,20.93
22,水湳低總價三房,公寓,台中市西屯區長安路二段,39.0,31,628,20.93
23,低總價大3房捷運美宅,公寓,台中市西屯區長安路二段,39.0,31,628,20.93
24,水湳經貿3房美寓,公寓,台中市西屯區長安路二段,39.0,31,628,20.93
25,G7長安捷運宅,公寓,台中市西屯區長安路二段,39.0,31,628,20.93
26,水湳市場旁大三房公寓,公寓,台中市西屯區長安路二段,39.0,31,628,20.93
27,西屯惠中路便宜透天,透天,台中市西屯區惠中路,50.0,8,638,79.75
28,逢甲六套房,公寓,台中市西屯區西安街,42.0,18,638,37.53
29,順天部落格尬平車,華廈,台中市西屯區文華路,14.0,19,666,37.0
30,逢甲商圈精美單身貴族宅,華廈,台中市西屯區文華路,14.0,19,666,37.0
31,逢甲收租聖品高投報三套,公寓,台中市西屯區逢甲路,44.0,20,668,33.4
32,成家二期低總價三房,華廈,台中市西屯區順和七街,28.0,23,688,31.27
33,低總價三房成家,華廈,台中市西屯區順和七街,28.0,23,688,31.27
34,東海商圈成家二期3房,華廈,台中市西屯區順和七街,28.0,23,688,31.27
35,文華高中三房三樓美公寓,公寓,台中市西屯區漢成街,34.0,25,698,29.08
36,西屯重慶國小3房美寓,公寓,台中市西屯區漢成街,34.0,25,698,29.08
37,文華高中全新整理3房美寓,公寓,台中市西屯區漢成街,34.0,25,698,29.08
38,逢甲電梯一層4間套房1門牌,未提供,台中市西屯區逢甲路,29.0,27,738,27.33
39,SECRET GARDEN 日光三房,公寓,台中市西屯區大弘街,40.0,28,758,28.07
40,西屯稀有二樓美寓,公寓,台中市西屯區大弘五街,36.0,25,768,32.0
41,科博館全新整理二樓公寓,公寓,台中市西屯區大弘五街,36.0,25,768,32.0
42,漢口商圈高投報收租五套房,公寓,台中市西屯區大有一街,36.0,34,778,23.58
43,捷運文華最美公寓,公寓,台中市西屯區天水東一街,34.0,29,780,27.86
44,西屯低總價5套房,公寓,台中市西屯區大有一街,36.0,34,798,24.18
45,漢口商圈獨洗陽台五套,公寓,台中市西屯區大有一街,36.0,34,798,24.18
46,西屯漢口商圈安居收租房,公寓,台中市西屯區大信街,36.0,30,798,27.52
47,大隆市場旁精美小資房,華廈,台中市西屯區東興路三段,24.0,21,798,39.9
48,台中新家2+1房,華廈,台中市西屯區青海路二段,30.0,25,798,33.25
49,青海漢口商圈5間大套房,公寓,台中市西屯區大有一街,36.0,34,798,24.18
50,青海商圈溫馨成家2+1房,華廈,台中市西屯區青海路二段,30.0,25,798,33.25
51,市政凱悅秒殺捷運美屋,華廈,台中市西屯區文心路二段,14.0,20,838,44.11
52,精誠商圈典雅美三房,公寓,台中市西屯區精誠路,39.0,27,858,33.0
53,全新整理雅靜精誠路3F美屋,公寓,台中市西屯區精誠路,39.0,27,858,33.0
