,title,house_type,address,house_age,floor_space,price,per_price
0,ＶＲ中科裝潢邊間四房平車,電梯大樓,台中市西屯區玉門路,14,61.04,2098,34.37
1,Ａ與Ａ＋高樓視野,電梯大樓,台中市西屯區市政北五路,17,167.34,8288,49.53
2,喬立亞維農採光美三房平車,電梯大樓,台中市西屯區上安路,17,45.3,1798,39.69
3,寶輝秋紅谷稀有高樓朝南戶,電梯大樓,台中市西屯區市政北六路,7,198.21,13500,68.11
4,漢口國中四房車位絕美華廈,華廈,台中市西屯區大有五街,26,40.23,1250,31.07
5,獨賣！國泰建設四房平車,電梯大樓,台中市西屯區重慶路,32,56.5,1398,24.74
6,中港陽明後棟美屋,電梯大樓,台中市西屯區臺灣大道四段,9,70.92,2398,33.81
7,ＶＲ近歌劇院５個Ｂ１平車,電梯大樓,台中市西屯區惠來路二段,13,237.43,8888,37.43
8,由鉅大謙七期奢華豪邸,電梯大樓,台中市西屯區市政北七路,12,189.73,10999,57.97
9,超美康朵２房２衛車位,電梯大樓,台中市西屯區弘孝路,12,32.09,1368,42.63
10,近捷運稀有獨棟二樓公寓,公寓,台中市西屯區天水東一街,34,28.97,768,26.51
11,店長推薦【最優東方之冠】,電梯大樓,台中市西屯區市政路,8,114.21,3980,34.85
12,赫里翁傳奇朝東南視野美屋,電梯大樓,台中市西屯區環中路三段,5,44.67,1680,37.61
13,ＶＲ中央公園稀有釋出,電梯大樓,台中市西屯區臺灣大道四段,15,143.22,4298,30.01
14,專簽天璽Ｉ面樹海古典優雅,電梯大樓,台中市西屯區惠民路,23,90.04,3980,44.2
15,順天環匯高樓美視野,電梯大樓,台中市西屯區臺灣大道三段,4,59.34,2680,45.16
16,赫里翁傳奇高樓視野美裝潢,電梯大樓,台中市西屯區環中路三段,5,46.96,1768,37.65
17,世紀之頂美宅附雙平車位,電梯大樓,台中市西屯區文心路三段,13,101.16,2980,29.46
18,至善國中旁次頂樓四房平車,電梯大樓,台中市西屯區青海路二段,17,47.96,1880,39.2
19,專任獨賣中港層峰次頂樓,電梯大樓,台中市西屯區上安路,7,75.22,2880,38.29
20,由鉅藏玉四房雙平面車位,電梯大樓,台中市西屯區市政北一路,14,121.61,4888,40.19
21,☆ＤＵＡ高樓裝潢戶☆,電梯大樓,台中市西屯區青海南街,4,27.98,1298,46.39
22,皇城園邸四房平車,電梯大樓,台中市西屯區皇城街,14,64.23,1898,29.55
23,赫里翁華麗風三房,電梯大樓,台中市西屯區青海路二段,11,96.17,3860,40.14
24,ＶＲ逢甲碧連天三房,華廈,台中市西屯區西屯路二段,28,32.4,950,29.32
25,捷運上城中高樓層採光佳,電梯大樓,台中市西屯區臺灣大道三段,16,39.21,1638,41.78
26,逢甲三房幸福成家,電梯大樓,台中市西屯區逢甲路,23,29.86,958,32.08
27,店長推薦★逢甲公園視野戶,電梯大樓,台中市西屯區逢明街,28,29.85,1093,36.62
28,★可看天青百萬裝潢戶★,電梯大樓,台中市西屯區市政北一路,12,136.01,5980,43.97
29,正裕華廈大三房平車,華廈,台中市西屯區福順路,28,49.16,1380,28.07
30,ＶＲ面文修公園大三房可看,電梯大樓,台中市西屯區福吉街,10,84.12,2720,32.33
31,絕美兩房平車視野戶,電梯大樓,台中市西屯區青海南街,1,29.11,1388,47.68
32,愛敦閣ｘ高樓ｘ視野ｘ裝潢,電梯大樓,台中市西屯區惠中路一段,12,93.46,3888,41.6
33,順天夏朵★七期樹海綠景戶,電梯大樓,台中市西屯區市政北一路,10,106.97,4688,43.83
34,寶輝秋紅谷朝南看歌劇院,電梯大樓,台中市西屯區市政北六路,7,198.21,12500,63.06
35,新業博觀面公園視野可看屋,電梯大樓,台中市西屯區福科一街,10,84.04,3580,42.6
36,七期市政路裝潢附雙平車位,電梯大樓,台中市西屯區市政路,14,85.74,3380,39.42
37,★ＶＲ可看大坪數三房★,電梯大樓,台中市西屯區工業區一路,28,89.89,2068,23.01
38,質感林維港麗大一房附車位,華廈,台中市西屯區太原路一段,14,22.61,780,34.5
39,中科麗景四房雙平面車位,電梯大樓,台中市西屯區福林路,31,90.3,1760,19.49
40,ＶＲ世貿望公園美美三房,電梯大樓,台中市西屯區中工二路,28,39.8,1260,31.66
41,VR山之道綠野首排視野,電梯大樓,台中市西屯區市政北五路,5,119.69,5380,44.95
42,歌劇院大兩房平車,電梯大樓,台中市西屯區市政北一路,16,43.79,1680,38.36
43,恆詠高樓層面秋紅谷景觀宅,電梯大樓,台中市西屯區河南路三段,10,140.11,5500,39.25
44,１２期明亮美邸宏台上誠,電梯大樓,台中市西屯區環中路二段,7,78.22,2850,36.44
45,台中七期林鼎一邸,電梯大樓,台中市西屯區市政北二路,11,143.43,4980,34.72
46,百達富裔尊榮享受一層一戶,電梯大樓,台中市西屯區臺灣大道三段,11,117.74,4880,41.45
47,專任品藏逢甲２房附車位,電梯大樓,台中市西屯區福星路,15,31.03,1180,38.03
48,摩登歐洲四房平面車位,電梯大樓,台中市西屯區逢甲路,23,43.29,1580,36.5
49,ＶＲ昇揚擎月三房平車,電梯大樓,台中市西屯區漢翔路,7,58.94,2468,41.87
50,達麗大道高樓美景盡收眼底,電梯大樓,台中市西屯區青海南街,1,34.3,1388,40.47
51,大肚七期美景盡收眼底傳奇,電梯大樓,台中市西屯區環中路三段,5,47.75,1988,41.63
52,華太怡然居２雙主臥視野戶,電梯大樓,台中市西屯區河南路四段,10,89.93,3688,41.01
53,唐盟森藏面東海大學美屋,電梯大樓,台中市西屯區工業區一路,5,72.83,2980,40.92
54,順天上環匯超美屋,電梯大樓,台中市西屯區臺灣大道三段,4,59.86,2380,39.76
55,ＶＲ七期由鉅高樓俯瞰視野,電梯大樓,台中市西屯區市政北七路,12,109.36,5290,48.37
56,獨家聯聚雍和２０樓朝新光,電梯大樓,台中市西屯區市政北七路,10,123.78,6380,51.54
57,VR銳豐四季花園帝王戶,電梯大樓,台中市西屯區市政北二路,12,151.53,5980,39.46
58,文心市政高樓視野採光三房,電梯大樓,台中市西屯區大祥街,25,48.76,1588,32.57
59,由鉅大謙高樓裝潢戶來臨,電梯大樓,台中市西屯區市政北七路,12,85.4,4780,55.97
60,水湳經貿仁山洺悅稀有釋出,電梯大樓,台中市西屯區大鵬路,3,63.04,2423,38.44
61,皇城園邸中央公園視野,電梯大樓,台中市西屯區皇城街,14,56.43,1698,30.09
62,ＶＲ東方帝國千萬新裝潢,電梯大樓,台中市西屯區文心路二段,11,154.11,7666,49.74
63,東方之冠◆朝西南高樓視野,電梯大樓,台中市西屯區市政路,8,130.63,6800,52.06
64,愛敦閣高樓採光讚！,電梯大樓,台中市西屯區惠中路一段,12,81.96,3000,36.6
65,東方之冠３０樓＊行情出售,電梯大樓,台中市西屯區市政路,8,114.37,4980,43.54
66,龍寶謙臻邸稀有釋出,電梯大樓,台中市西屯區市政路,7,200.51,9980,49.77
