,title,house_type,address,house_age,floor_space,price,per_price
0,四維國小捷運站健身三房,公寓,台中市北屯區遼陽北二街,41,38.96,890,23.42
1,民俗公園2+1房車位捷運宅,華廈,台中市北屯區安順四街,30,36.49,898,24.94
2,太原商圈8米大面寬樓店,透天,台中市北屯區崇興路一段,40,40.44,1280,32.0
3,薇納市花園別墅,透天,台中市北屯區東山路二段,26,44.58,1198,27.23
4,水湳正中清路稀有電梯美寓,公寓,台中市北屯區中清路二段,39,26.03,798,30.69
5,心之所向F5-3,華廈,台中市北屯區心之所向F5棟3樓,0,34.93,898,26.41
6,興安文心捷運美寓,公寓,台中市北屯區遼陽北二街,41,38.96,890,23.42
7,北屯國小三車庫花園別墅,透天,台中市北屯區太原路三段,22,154.46,4680,30.39
8,東山商圈視野大三房,華廈,台中市北屯區東山路一段,25,40.74,998,24.95
9,昌平商圈2+1房附車位,華廈,台中市北屯區安順四街,30,36.49,898,24.94
10,14期旁美視野四樓透店,透天,台中市北屯區大連北街,26,72.04,2300,31.94
11,十期臨路邊間雙整層主臥別,透天,台中市北屯區東山路一段,22,77.58,2680,34.81
12,14期旁生態公園車庫透天,透天,台中市北屯區大連路一段,26,62.41,1980,31.94
13,兒童公園2房高樓層視野戶,華廈,台中市北屯區天津路四段,27,25.05,838,33.52
14,海拔4815新婚甜蜜2+1房,華廈,台中市北屯區安順四街,30,36.49,898,24.94
15,昌平商圈2+1房附車位,華廈,台中市北屯區安順四街,30,36.49,898,24.94
16,太原車站成家首選美寓,公寓,台中市北屯區天祥街,43,20.14,558,27.9
17,鉅育芳鄰3房+車位舒適住家,華廈,台中市北屯區松和街,28,42.69,1058,25.19
18,水湳經貿全新大兩房,華廈,台中市北屯區陳平路,0,40.04,1499,37.48
19,水湳經貿雙車四房透天,透天,台中市北屯區大連路一段,26,62.41,1980,31.94
20,獨賣-北屯商辦(阿波羅),華廈,台中市北屯區北屯路,30,91.52,1800,19.78
21,太原車站超大室內附大平車,華廈,台中市北屯區南京東路三段,32,51.52,1180,23.14
22,北屯三房平車蛋黃屋,華廈,台中市北屯區九龍街,30,44.97,1258,28.59
23,太原車站三房平車,華廈,台中市北屯區九龍街,30,44.97,1258,28.59
24,G5捷運精美3+1房美寓,公寓,台中市北屯區遼陽北二街,41,38.96,890,23.42
25,四維國小文心捷運公寓,公寓,台中市北屯區遼陽北二街,41,38.96,890,23.42
26,鉅育芳鄰三房車位,華廈,台中市北屯區松和街,28,42.69,1058,25.19
27,正太原路精裝2房平車,華廈,台中市北屯區太原路三段,1,42.26,1398,33.29
28,北屯鳥語花香薇納市別墅,透天,台中市北屯區東山路二段,26,44.58,1198,27.23
29,太原車站精美三房公寓,公寓,台中市北屯區太原路三段,38,20.85,588,29.4
30,太原車站精美兩房公寓,公寓,台中市北屯區太原路三段,38,20.77,588,29.4
31,北屯薇納市花園別墅,透天,台中市北屯區東山路二段,26,44.58,1198,27.23
32,薇納市花園大地坪別墅,透天,台中市北屯區東山路二段,26,44.58,1198,27.23
33,A0602四維捷運伊莉莎,華廈,台中市北屯區遼陽北二街,32,44.61,1260,28.64
34,兒童公園精裝三房平車,華廈,台中市北屯區九龍街,30,44.98,1258,28.59
35,水湳市場稀有電梯5+6樓,公寓,台中市北屯區中清路二段,39,26.03,798,30.69
36,買五樓送六樓電梯公寓,華廈,台中市北屯區中清路二段,39,26.03,798,30.69
37,昌平商圈2+1房車位華廈,華廈,台中市北屯區安順四街,30,36.49,898,24.94
38,興安商圈3房美寓,公寓,台中市北屯區遼陽北二街,41,38.96,890,23.42
39,心之所向E13-4,華廈,台中市北屯區心之所向E13棟4樓,0,32.47,898,28.06
40,九龍街賺錢金店面,華廈,台中市北屯區九龍街,28,32.6,958,29.94
41,北屯風格畫境三房平車,華廈,台中市北屯區九龍街,30,38.73,1258,33.11
42,人人幸福三房平車,華廈,台中市北屯區太原路三段&景和街,0,39.34,1188,30.46
43,北屯中清文心蛋黃區樓店,公寓,台中市北屯區大連西路,35,75.51,2380,31.73
44,巴黎第六區,華廈,台中市北屯區文心路四段,9,32.35,1198,37.44
45,崇德商圈三房附車位,華廈,台中市北屯區崇德六路,29,45.05,1180,26.22
46,風格畫境裝潢四房平車,華廈,台中市北屯區九龍街,30,55.93,1580,28.73
47,風格畫境裝潢四房平車,華廈,台中市北屯區九龍街,30,55.93,1580,28.73
48,智慧家庭邊間 2房 + 車位,華廈,台中市北屯區文昌東八街,29,25.4,738,29.52
49,興安文心捷運公寓,公寓,台中市北屯區遼陽北二街,41,38.96,890,23.42
50,十期情定水蓮二房平車,華廈,台中市北屯區軍福十七路,17,29.95,858,29.59
51,三光國中大地坪臨路美透,透天,台中市北屯區北屯路,36,51.05,2580,50.59
52,?子全新三車獨棟透天,透天,台中市北屯區子巷,0,32.32,1880,58.75
53,G6站三房車位,華廈,台中市北屯區瀋陽路三段,29,34.49,990,29.12
