,title,house_type,address,house_age,floor_space,price,per_price
0,五期低總價2+1房,華廈,台中市南屯區大墩四街,30,26.02,720,27.69
1,南屯理想套房,華廈,台中市南屯區東興西街,30,11.97,358,32.55
2,理想貴族面樹海採光極美套,華廈,台中市南屯區東興西街,30,11.97,358,32.55
3,理想貴族溫馨採光大套房,華廈,台中市南屯區東興西街,30,11.97,358,32.55
4,三采大業新象惠文5房車位,華廈,台中市南屯區黎明路二段,28,67.21,1988,29.67
5,惠文三采大業新象,華廈,台中市南屯區黎明路二段,28,67.2,1988,29.67
6,陽光之邑樓店,華廈,台中市南屯區文山九街,27,35.75,960,27.43
7,世紀風華裝潢四房平車,華廈,台中市南屯區河南路四段,16,58.02,1980,34.14
8,專簽!藝術羅丹美宅,華廈,台中市南屯區寶山三街,28,38.6,918,24.16
9,全新裝潢大三房左岸景觀戶,華廈,台中市南屯區南屯路二段,28,33.08,838,25.39
10,楓樹人文特區雙車電墅,透天,台中市南屯區楓樹東街,6,117.91,4688,40.07
11,五期天下名邸四房平車,華廈,台中市南屯區東興西街,31,62.05,1498,24.16
12,南屯捷運美電梯套房,未提供,台中市南屯區東興西街,30,11.97,358,32.55
13,明星大墩完全學區四房平車,華廈,台中市南屯區河南路四段,16,51.1,1980,38.82
14,南屯秒殺四房平車,華廈,台中市南屯區東興西街,31,62.05,1498,24.16
15,超像皇家,透天,台中市南屯區新民巷,22,57.37,1700,29.82
16,五期雲莊低總價3房車位,華廈,台中市南屯區大光街,30,33.86,1080,32.73
17,新建築-惠宇上晴,華廈,台中市南屯區向上路５段,6,60.67,2298,38.3
18,惠文市政社區配平車,華廈,台中市南屯區黎明東街,24,41.73,1480,36.1
19,森林觀道捷運四房豪宅,華廈,台中市南屯區文心路一段,10,133.6,4880,36.69
20,市政天地高樓視野4房平車,華廈,台中市南屯區河南路四段,25,60.17,1950,32.5
21,次頂樓絕版大三房平車,華廈,台中市南屯區嶺東南路,28,49.89,1350,27.55
22,三采市政新境四房平車,華廈,台中市南屯區河南路四段,24,65.61,2080,32.0
23,朝東視野邊間三房含平車,華廈,台中市南屯區春安路,0,41.06,1458,35.56
24,高樓2房平車,華廈,台中市南屯區春安路,0,35.1,1150,32.86
25,八期海德堡空中花園別墅,華廈,台中市南屯區文心南二路,28,89.96,2780,31.24
